# Time-averaged data for fix myat3
# TimeStep c_press
3000 -473.706
4000 -747.181
5000 -1162.34
6000 -1170.35
7000 -1381.37
8000 -1491.73
9000 -1549.15
10000 -1881.38
11000 -2231.96
12000 -2021.22
13000 -2518.47
14000 -2490.38
15000 -2436.84
16000 -2363.99
17000 -2302.58
18000 -2208.18
19000 -2173.42
20000 -2121.23
21000 -2314.69
22000 -2438.27
23000 -2494.69
24000 -2320.56
25000 -2280.14
26000 -2273.71
27000 -2296.07
28000 -2290.39
29000 -2407.14
30000 -2343.54
31000 -2349.21
32000 -2035.19
33000 -2238.66
34000 -2055.31
35000 -1925.44
36000 -1889.98
37000 -1881.64
38000 -1740.44
39000 -1835.22
40000 -1737.18
41000 -1703.75
42000 -1644.35
43000 -1674.22
44000 -1563.73
45000 -1413.08
46000 -1570.02
47000 -1431.53
48000 -1492.52
49000 -1464.98
50000 -1439.47
51000 -1416.98
52000 -1187.53
53000 -1266.12
54000 -1161.58
55000 -1145.56
56000 -1085.81
57000 -1133.86
58000 -1132.28
59000 -1034.64
60000 -1045.82
61000 -976.033
62000 -1098.35
63000 -1128.28
64000 -1207.21
65000 -1196.37
66000 -1219.58
67000 -1080.84
68000 -1024.47
69000 -896.882
70000 -1110.4
71000 -963.092
72000 -979.738
73000 -955.274
74000 -1135.39
75000 -1028.43
76000 -908.108
77000 -883.076
78000 -1000.29
79000 -894.663
80000 -728.008
81000 -920.059
82000 -862.603
83000 -845.961
84000 -783.941
85000 -1006.04
86000 -799.832
87000 -830.526
88000 -968.764
89000 -865.189
90000 -869.346
91000 -885.902
92000 -831.282
93000 -887.154
94000 -774.793
95000 -806.844
96000 -638.861
97000 -775.154
98000 -894.323
99000 -814.63
100000 -830.065
101000 -758.956
102000 -616.255
103000 -766.857
104000 -679.141
105000 -716.331
106000 -702.019
107000 -799.599
108000 -666.436
109000 -613.185
110000 -515.439
111000 -479.256
112000 -368.478
113000 -404.902
114000 -511.718
115000 -564.183
116000 -544.495
117000 -510.265
118000 -528.1
119000 -440.074
120000 -467.704
121000 -509.162
122000 -668.362
123000 -545.519
124000 -509.453
125000 -384.842
126000 -458.208
127000 -444.425
128000 -508.939
129000 -552.739
130000 -592.843
131000 -571.625
132000 -557.531
133000 -484.621
134000 -616.401
135000 -676.768
136000 -608.48
137000 -702.108
138000 -577.635
139000 -636.386
140000 -591.567
141000 -691.875
142000 -611.516
143000 -567.798
144000 -598.816
145000 -488.379
146000 -550.908
147000 -526.82
148000 -655.903
149000 -628.612
150000 -620.651
151000 -536.587
152000 -586.883
153000 -611.129
154000 -670.984
155000 -710.729
156000 -610.688
157000 -605.522
158000 -659.952
159000 -509.27
160000 -438.606
161000 -366.92
162000 -523.297
163000 -501.996
164000 -276.077
165000 -386.627
166000 -413.898
167000 -520.353
168000 -338.696
169000 -312.918
170000 -373.063
171000 -426.42
172000 -409.483
173000 -352.768
174000 -262.945
175000 -375.705
176000 -326.77
177000 -458.029
178000 -350.678
179000 -565.353
180000 -364.018
181000 -380.032
182000 -376.843
183000 -353.974
184000 -397.485
185000 -380.306
186000 -253.594
187000 -329.115
188000 -383.928
189000 -362.916
190000 -354.137
191000 -393.856
192000 -463.248
193000 -299.608
194000 -367.908
195000 -404.271
196000 -399.581
197000 -354.106
198000 -556.537
199000 -414.449
200000 -543.641
201000 -391.279
202000 -503.825
203000 -536.941
204000 -432.097
205000 -461.129
206000 -399.632
207000 -544.923
208000 -551.525
209000 -572.18
210000 -739.282
211000 -609.763
212000 -344.992
213000 -497.09
214000 -522.892
215000 -574.666
216000 -673.375
217000 -556.158
218000 -490.518
219000 -551.589
220000 -667.799
221000 -621.837
222000 -424.345
223000 -453.902
224000 -487.176
225000 -450.629
226000 -509.536
227000 -473.069
228000 -563.376
229000 -470.461
230000 -540.066
231000 -510.489
232000 -527.794
233000 -542.127
234000 -448.339
235000 -450.779
236000 -485.868
237000 -368.526
238000 -584.626
239000 -377.115
240000 -497.679
241000 -515.558
242000 -373.745
243000 -734.094
244000 -559.955
245000 -579.285
246000 -470.617
247000 -162.475
248000 -317.593
249000 -222.044
250000 -316.788
251000 -236.476
252000 -387.982
253000 -279.145
254000 -332.589
255000 -245.31
256000 -344.506
257000 -327.035
258000 -411.246
259000 -279.275
260000 -166.564
261000 -201.535
262000 -397.488
263000 -204.94
264000 -150.345
265000 -334.912
266000 -432.468
267000 -384.303
268000 -391.732
269000 -444.39
270000 -455.501
271000 -570.933
272000 -374.499
273000 -410.672
274000 -307.795
275000 -522.734
276000 -399.798
277000 -382.584
278000 -300.726
279000 -375.457
280000 -531.356
281000 -477.588
282000 -673.729
283000 -521.253
284000 -364.227
285000 -445.398
286000 -456.873
287000 -478.194
288000 -447.395
289000 -513.329
290000 -450.604
291000 -312.394
292000 -258.695
293000 -268.099
294000 -208.006
295000 -381.318
296000 -391.914
297000 -398.273
298000 -343.444
299000 -485.772
300000 -379.925
301000 -431.974
302000 -369.677
303000 -184.061
304000 -263.6
305000 -341.699
306000 -304.652
307000 -453.862
308000 -361.911
309000 -296.928
310000 -317.426
311000 -421.714
312000 -389.163
313000 -298.114
314000 -420.962
315000 -405.442
316000 -540.132
317000 -475.292
318000 -415.292
319000 -389.503
320000 -401.377
321000 -281.579
322000 -285.636
323000 -351.651
324000 -318.48
325000 -230.813
326000 -325.121
327000 -320.659
328000 -281.929
329000 -331.74
330000 -335.251
331000 -363.144
332000 -285.368
333000 -400.105
334000 -186.89
335000 -379.811
336000 -333.367
337000 -360.231
338000 -268.877
339000 -373.05
340000 -410.389
341000 -318.686
342000 -478.122
343000 -364.436
344000 -267.219
345000 -337.057
346000 -390.7
347000 -197.925
348000 -264.482
349000 -235.883
350000 -156.761
351000 -64.3873
